user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls
1,37.45,28.26,44,39,False,True,DE,UK
2,95.07,45.87,63,83,True,True,JP,UK
3,73.2,9.92,60,,False,False,DE,DE
4,59.87,44.68,62,77,True,True,UK,JP
5,15.6,20.31,47,18,True,False,DE,FR
6,15.6,27.76,69,76,False,False,US,US
7,5.81,47.81,80,59,False,False,FR,JP
8,86.62,88.63,50,51,False,True,US,JP
9,60.11,57.84,33,66,True,True,US,JP
10,70.81,1.77,84,,True,True,JP,FR
11,2.06,,74,69,True,False,FR,US
12,96.99,6.33,46,70,False,False,DE,JP
13,83.24,18.63,70,68,False,True,DE,US
14,21.23,34.37,62,84,False,False,JP,DE
15,18.18,17.51,63,81,True,True,DE,US
16,18.34,46.17,35,19,True,True,UK,FR
17,30.42,82.42,34,49,True,,DE,FR
18,52.48,82.55,48,72,True,False,FR,DE
19,43.19,33.96,61,69,True,True,JP,FR
20,29.12,32.67,81,36,True,True,DE,US
21,61.19,74.58,84,67,False,True,US,DE
22,13.95,41.51,86,,True,False,UK,FR
23,29.21,97.01,44,75,True,True,US,UK
24,36.64,44.5,88,72,False,True,JP,FR
25,45.61,,29,57,True,True,DE,UK
26,78.52,0.98,39,33,False,,US,FR
27,19.97,95.41,73,71,False,False,DE,UK
28,51.42,11.87,84,20,False,True,JP,JP
29,59.24,17.52,60,79,True,True,DE,US
30,4.65,3.83,24,82,False,True,JP,US
31,60.75,46.49,29,32,True,True,JP,FR
32,17.05,40.84,51,84,True,True,UK,FR
33,6.51,81.58,50,56,True,False,UK,US
34,94.89,55.54,85,79,True,False,FR,FR
35,96.56,58.23,52,31,True,True,UK,FR
36,80.84,79.02,32,77,True,False,US,FR
37,30.46,58.29,53,27,True,True,US,DE
38,9.77,56.54,80,,False,True,FR,DE
39,68.42,92.85,80,32,True,True,US,JP
40,44.02,43.7,44,27,True,True,UK,US
41,12.2,63.44,63,47,True,False,US,UK
42,49.52,38.43,25,76,False,True,DE,FR
43,3.44,65.07,52,42,True,True,JP,JP
44,90.93,1.01,19,46,True,True,UK,US
45,25.88,72.67,69,58,False,False,DE,UK
46,66.25,78.18,48,80,False,True,FR,UK
47,31.17,87.74,58,53,False,True,JP,DE
48,52.01,,33,49,False,False,UK,
49,54.67,28.62,84,25,False,False,JP,JP
50,18.49,73.05,24,38,True,True,UK,FR
51,96.96,,52,43,False,True,UK,UK
52,77.51,76.99,27,77,False,True,JP,FR
53,93.95,91.12,31,45,False,True,DE,US
