user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls
1,77.4,77.4,90,90,False,False,FR,FR
2,43.89,43.89,86,86,True,True,DE,DE
3,85.86,85.86,88,88,True,True,JP,JP
4,69.74,69.74,87,87,True,True,UK,UK
5,9.42,9.42,82,82,True,,DE,
6,97.56,97.56,57,57,True,,JP,JP
7,76.11,76.11,69,69,False,False,DE,DE
8,78.61,78.61,36,36,True,,DE,DE
9,12.81,12.81,69,69,True,True,JP,JP
10,45.04,,71,71,True,True,FR,FR
11,37.08,37.08,49,49,False,False,US,US
12,92.68,92.68,66,66,False,False,UK,UK
13,64.39,64.39,48,48,True,True,JP,JP
14,82.28,82.28,81,81,False,False,UK,UK
15,44.34,44.34,32,,False,False,DE,DE
16,22.72,22.72,80,80,False,False,FR,FR
17,55.46,55.46,74,74,True,,DE,DE
18,6.38,6.38,38,38,False,False,DE,DE
19,82.76,82.76,29,29,True,,US,US
20,63.17,63.17,60,60,False,False,FR,FR
21,75.81,75.81,86,86,True,True,DE,DE
22,35.45,35.45,50,50,True,True,FR,FR
23,97.07,,37,37,True,True,FR,FR
24,89.31,89.31,85,85,True,True,US,US
25,77.84,77.84,64,64,True,True,DE,DE
26,19.46,19.46,47,,False,False,DE,DE
27,46.67,46.67,48,48,False,False,FR,FR
28,4.38,4.38,22,22,False,False,JP,JP
29,15.43,,78,78,False,False,FR,FR
30,68.3,68.3,53,53,False,False,FR,FR
31,74.48,74.48,76,76,False,,DE,DE
32,96.75,,34,34,False,False,DE,DE
33,32.58,32.58,23,23,True,True,DE,DE
34,37.05,37.05,18,18,False,False,JP,JP
35,46.96,46.96,62,62,False,False,DE,DE
36,18.95,18.95,84,84,True,True,DE,DE
37,12.99,12.99,71,71,False,False,DE,DE
38,47.57,47.57,67,67,False,False,UK,UK
39,22.69,,55,55,False,False,JP,JP
40,66.98,,26,26,True,True,US,US
41,43.72,43.72,58,58,True,True,DE,DE
42,83.27,83.27,45,45,True,True,UK,UK
43,70.03,70.03,25,25,False,False,FR,FR
44,31.24,31.24,38,38,False,False,UK,
45,83.23,83.23,68,68,False,False,DE,DE
46,80.48,80.48,77,77,False,False,UK,UK
47,38.75,38.75,40,40,True,True,JP,JP
48,28.83,28.83,68,,True,True,UK,UK
49,68.25,68.25,90,90,False,False,JP,JP
50,13.98,,26,26,False,False,FR,FR
51,19.99,19.99,45,45,True,,JP,JP
52,0.74,0.74,18,18,True,True,UK,UK
53,78.69,78.69,30,30,False,False,US,US
54,66.49,66.49,77,77,True,True,FR,FR
55,70.52,70.52,77,77,True,True,FR,
56,78.07,78.07,86,86,False,False,UK,UK
57,45.89,45.89,63,63,True,,JP,JP
58,56.87,56.87,88,88,False,False,JP,JP
59,13.98,13.98,71,71,True,True,US,US
60,11.45,11.45,26,26,True,True,DE,DE
61,66.84,,52,52,True,True,FR,FR
62,47.11,47.11,46,46,False,,DE,DE
63,56.52,56.52,24,24,False,False,US,
64,76.5,76.5,26,26,True,True,DE,DE
65,63.47,63.47,87,87,True,,JP,JP
66,55.36,55.36,86,86,False,False,DE,DE
67,55.92,55.92,89,89,False,False,DE,DE
68,30.4,30.4,51,,True,True,FR,FR
69,3.08,3.08,45,45,False,False,US,US
70,43.67,43.67,84,84,False,False,UK,UK
71,21.46,21.46,31,31,True,True,JP,JP
72,40.85,40.85,51,51,False,False,FR,FR
73,85.34,85.34,73,73,True,True,FR,FR
74,23.39,23.39,24,24,False,False,UK,UK
75,5.83,,37,37,True,True,DE,DE
76,28.14,28.14,44,44,False,False,FR,FR
77,29.36,,90,90,False,False,US,US
78,66.19,66.19,88,88,True,True,US,US
79,55.7,55.7,35,35,True,True,UK,
80,78.39,78.39,81,81,False,False,DE,DE
81,66.43,66.43,62,62,True,True,JP,JP
82,40.64,40.64,55,55,True,True,UK,UK
83,81.4,81.4,33,33,True,True,DE,
84,16.7,16.7,42,42,False,False,FR,FR
85,2.27,2.27,58,58,True,True,JP,
86,9.0,9.0,29,29,False,False,US,US
87,72.24,72.24,52,52,True,True,US,US
88,46.19,46.19,28,,False,False,DE,DE
89,16.13,16.13,24,,True,True,FR,FR
90,50.1,50.1,29,29,True,True,JP,JP
