user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls,created_date,created_date_with_nulls,created_at,created_at_with_nulls
1,13.99,62.82,103,80,True,False,US,BR,2020-06-11,2020-06-11,2023-09-04T14:18:42,2023-09-04T14:18:42
2,81.39,78.98,52,13,False,True,FR,UK,2023-11-14,2023-11-14,2024-05-29T21:21:34,2024-05-29T21:21:34
3,34.77,6.86,43,112,False,False,UK,FR,2023-04-10,2023-04-10,2022-11-10T01:08:30,2022-11-10T01:08:30
4,33.74,83.6,47,,True,True,JP,BR,2022-03-12,,2022-01-26T00:40:53,2022-01-26T00:40:53
5,86.7,59.41,41,65,False,,US,FR,2022-03-01,2022-03-01,2020-01-09T10:29:28,2020-01-09T10:29:28
6,80.18,85.89,109,50,True,,US,DE,2024-04-16,2024-04-16,2023-01-23T17:30:43,2023-01-23T17:30:43
7,13.3,6.72,1,19,False,True,FR,CA,2020-06-05,2020-06-05,2024-07-16T04:57:44,2024-07-16T04:57:44
8,17.38,73.01,93,,True,True,UK,JP,2023-06-27,2023-06-27,2020-09-14T02:28:15,2020-09-14T02:28:15
9,72.99,30.11,40,110,False,True,FR,US,2021-01-02,2021-01-02,2021-03-22T02:50:19,2021-03-22T02:50:19
10,7.19,65.4,21,1,True,False,DE,BR,2020-06-20,2020-06-20,2022-08-20T08:06:31,2022-08-20T08:06:31
11,66.78,53.99,66,41,False,True,US,AU,2022-08-19,2022-08-19,2022-09-01T05:46:29,2022-09-01T05:46:29
12,21.4,13.12,45,11,True,True,BR,US,2024-11-16,2024-11-16,2022-02-13T04:22:45,2022-02-13T04:22:45
13,82.53,7.02,79,66,False,True,UK,,2023-09-05,2023-09-05,2020-09-26T12:20:26,2020-09-26T12:20:26
14,80.52,42.54,43,90,True,False,FR,CA,2023-10-21,2023-10-21,2022-06-02T07:50:28,2022-06-02T07:50:28
15,1.58,59.77,24,70,True,True,CA,CA,2023-08-03,2023-08-03,2022-07-09T01:44:37,2022-07-09T01:44:37
